
Analyzing signals_history_1b_2023.json
Total signals in file: 1127
Score filter: 5-7
Holding period: 365 days
Stop loss: -60%
Signals after score filter: 960
Loaded price data for 517/517 tickers

--- STRICT VALIDATION RESULTS ---
Valid trades: 960
Dropped - no entry price: 0
Dropped - insufficient coverage (data gaps): 0
Total dropped: 0 (0.0% of filtered signals)

================================================================================
STRICT ANALYSIS: signals_history_1b_2023.json
================================================================================

Data Quality:
  Total signals:     1127
  After score filter: 960
  Valid trades:      960 (100.0%)
    - Closed:        571 (stop_loss or 12M exit)
    - Open:          389 (still holding, using latest price)
  Dropped (total):   0 (0.0%)
    - No entry price:  0
    - Data gaps:       0 (insufficient coverage in holding period)

Performance - CLOSED trades only (571 trades):
  Avg Return:    +44.6%
  Win Rate:      68.5%

Performance - ALL trades including OPEN (960 trades):
  Avg Return:    +41.7%
  Win Rate:      68.3% (656W / 304L)
  Avg Win:       +70.0%
  Avg Loss:      -19.5%
  Best:          +712.0%
  Worst:         -60.0%

Exit Reasons (closed trades):
  Stop Loss (-25%): 21 (3.7% of closed)
  Time (12M):       550 (96.3% of closed)

All Trades (960):
Entry        Exit         Ticker   Score     Entry$      Exit$     Return   Days Reason    
2023-12-06   2024-12-05   CRM          7     249.13     361.38    +45.1%    365 time      
2023-12-06   2024-12-05   WDAY         7     267.32     262.70     -1.7%    365 time      
2023-12-06   2024-12-05   AFRM         7      38.38      68.35    +78.1%    365 time      
2023-12-06   2024-12-05   NTAP         7      89.40     128.79    +44.1%    365 time      
2023-12-06   2024-12-05   IOT          7      34.62      55.13    +59.2%    365 time      
2023-12-06   2024-12-05   PATH         7      23.36      14.95    -36.0%    365 time      
2023-12-06   2024-12-05   ESTC         7     112.80     111.53     -1.1%    365 time      
2023-12-06   2024-12-05   RNA          6       7.93      36.88   +365.1%    365 time      
2023-12-06   2024-12-05   GME          6      14.84      28.63    +92.9%    365 time      
2023-12-06   2024-12-05   SW           5      40.75      54.77    +34.4%    365 time      
2023-12-13   2024-12-12   GTLB         7      64.72      61.04     -5.7%    365 time      
2023-12-13   2024-12-12   HOOD         6      11.99      39.33   +228.0%    365 time      
2023-12-13   2024-12-12   COKE         5      85.55     128.07    +49.7%    365 time      
2023-12-13   2024-12-12   IESC         5      84.65     249.10   +194.3%    365 time      
2023-12-20   2024-12-19   VRTX         7     400.25     396.64     -0.9%    365 time      
2023-12-20   2024-12-19   RKT          7      14.30      11.63    -18.7%    365 time      
2023-12-20   2024-12-19   EQH          7      33.52      44.98    +34.2%    365 time      
2023-12-20   2024-12-19   BLDR         7     161.44     146.29     -9.4%    365 time      
2023-12-20   2024-12-19   SUN          7      59.20      51.07    -13.7%    365 time      
2023-12-20   2024-12-19   FIX          6     207.08     435.22   +110.2%    365 time      
2023-12-20   2024-12-19   TEAM         6     237.60     251.23     +5.7%    365 time      
2023-12-27   2024-12-26   COIN         6     185.24     274.41    +48.1%    365 time      
2023-12-27   2024-12-26   RKLB         6       5.74      28.44   +395.5%    365 time      
2023-12-27   2024-12-26   AFRM         6      51.24      66.85    +30.5%    365 time      
2023-12-27   2024-12-26   UBS          5      31.19      30.64     -1.8%    365 time      
2023-12-27   2024-12-26   AUR          5       4.69       7.34    +56.5%    365 time      
2023-12-27   2024-12-26   KD           5      21.23      35.43    +66.9%    365 time      
2024-01-03   2025-01-02   SATS         5      14.32      22.75    +58.9%    365 time      
2024-01-03   2025-01-02   GRFS         5      11.29       7.54    -33.2%    365 time      
2024-01-10   2025-01-10   ARWR         7      39.45      18.49    -53.1%    366 time      
2024-01-10   2025-01-10   CYTK         6     101.63      46.62    -54.1%    366 time      
2024-01-17   2025-01-16   CCJ          6      47.92      49.51     +3.3%    365 time      
2024-01-17   2025-01-16   UEC          6       8.00       6.85    -14.4%    365 time      
2024-01-17   2025-01-16   NXE          6       7.67       6.72    -12.4%    365 time      
2024-01-17   2025-01-16   NVDA         5      56.05     133.57   +138.3%    365 time      
2024-01-17   2025-01-16   ISRG         5     358.88     584.08    +62.8%    365 time      
2024-01-17   2025-01-16   PANW         5     165.03     177.17     +7.4%    365 time      
2024-01-17   2025-01-16   CRWD         5     276.27     363.38    +31.5%    365 time      
2024-01-17   2025-01-16   FICO         5    1230.16    1969.68    +60.1%    365 time      
2024-01-17   2025-01-16   VEEV         5     201.89     214.75     +6.4%    365 time      
2024-01-24   2025-01-23   FLUT         7     203.00     267.89    +32.0%    365 time      
2024-01-24   2024-11-14   SMCI         7      47.02      18.81    -60.0%    295 stop_loss 
2024-01-24   2025-01-23   TSM          6     116.52     224.62    +92.8%    365 time      
2024-01-24   2025-01-23   AMD          6     178.29     123.04    -31.0%    365 time      
2024-01-24   2025-01-23   AMAT         5     174.14     190.70     +9.5%    365 time      
2024-01-24   2025-01-23   PSTG         5      41.94      72.37    +72.6%    365 time      
2024-01-24   2025-01-23   W            5      54.77      47.97    -12.4%    365 time      
2024-01-24   2025-01-23   RMBS         5      73.37      63.90    -12.9%    365 time      
2024-01-24   2025-01-23   ONTO         5     165.96     217.04    +30.8%    365 time      
2024-01-24   2025-01-23   CAMT         5      78.86     104.65    +32.7%    365 time      
2024-01-31   2025-01-30   NFLX         7      56.41      97.32    +72.5%    365 time      
2024-01-31   2025-01-30   APPF         7     219.26     253.58    +15.7%    365 time      
2024-01-31   2025-01-30   GGAL         6      21.61      69.30   +220.7%    365 time      
2024-01-31   2025-01-30   BMA          6      33.12     101.61   +206.8%    365 time      
2024-01-31   2025-01-30   NTES         5      97.64     104.88     +7.4%    365 time      
2024-01-31   2025-01-30   URI          5     625.40     774.08    +23.8%    365 time      
2024-01-31   2025-01-30   GFI          5      14.80      17.28    +16.8%    365 time      
2024-01-31   2025-01-30   HAL          5      35.65      26.54    -25.6%    365 time      
2024-01-31   2025-01-30   BAH          5     140.77     128.93     -8.4%    365 time      
2024-01-31   2025-01-30   AAL          5      14.23      16.90    +18.8%    365 time      
2024-02-07   2025-02-06   FLUT         7     207.27     266.12    +28.4%    365 time      
2024-02-07   2025-02-06   NXT          7      55.42      47.61    -14.1%    365 time      
2024-02-07   2025-02-06   MMYT         7      56.26     116.69   +107.4%    365 time      
2024-02-07   2025-02-06   EW           6      86.61      70.99    -18.0%    365 time      
2024-02-07   2025-02-06   KB           6      49.33      59.02    +19.6%    365 time      
2024-02-07   2025-02-06   CR           6     125.95     172.79    +37.2%    365 time      
2024-02-07   2025-02-06   SAIA         6     536.02     508.47     -5.1%    365 time      
2024-02-14   2024-10-30   SMCI         7      88.06      35.22    -60.0%    259 stop_loss 
2024-02-14   2025-02-13   CFLT         7      33.89      36.23     +6.9%    365 time      
2024-02-14   2025-02-13   CRUS         7      90.74     106.95    +17.9%    365 time      
2024-02-14   2025-02-13   WMS          6     162.57     126.08    -22.4%    365 time      
2024-02-14   2025-02-13   SITM         6     115.54     169.59    +46.8%    365 time      
2024-02-14   2025-02-13   CIFR         6       4.02       5.98    +48.8%    365 time      
2024-02-21   2025-02-20   APP          7      55.42     450.01   +712.0%    365 time      
2024-02-21   2025-02-20   FANG         7     179.75     162.09     -9.8%    365 time      
2024-02-21   2025-02-20   REZI         7      21.24      21.43     +0.9%    365 time      
2024-02-21   2025-02-20   IFS          7      29.26      32.50    +11.1%    365 time      
2024-02-21   2025-02-20   TRMB         6      60.31      73.21    +21.4%    365 time      
2024-02-21   2025-02-20   MDGL         6     228.24     351.03    +53.8%    365 time      
2024-02-28   2025-02-27   CVNA         6      75.47     223.21   +195.8%    365 time      
2024-02-28   2025-02-27   BLCO         6      16.85      15.80     -6.2%    365 time      
2024-02-28   2025-02-27   BCS          5       8.63      15.69    +81.8%    365 time      
2024-02-28   2025-02-27   PWR          5     238.63     259.26     +8.6%    365 time      
2024-02-28   2025-02-27   TCOM         5      44.46      57.20    +28.7%    365 time      
2024-02-28   2025-02-27   GRMN         5     137.30     224.06    +63.2%    365 time      
2024-02-28   2025-02-27   KEP          5       9.19       7.98    -13.2%    365 time      
2024-02-28   2025-02-27   IRM          5      75.36      91.72    +21.7%    365 time      
2024-02-28   2025-02-27   HALO         5      39.69      57.70    +45.4%    365 time      
2024-03-06   2025-03-06   MSTR         7     124.62     304.11   +144.0%    365 time      
2024-03-06   2025-03-06   CPNG         7      18.96      23.17    +22.2%    365 time      
2024-03-06   2025-03-06   NTAP         7     104.80      91.86    -12.3%    365 time      
2024-03-06   2025-03-06   OKTA         7     108.90     111.22     +2.1%    365 time      
2024-03-06   2024-09-04   CELH         7      87.49      35.00    -60.0%    182 stop_loss 
2024-03-06   2025-03-06   STRL         7     110.14     120.72     +9.6%    365 time      
2024-03-06   2025-03-06   TIGO         7      18.09      28.21    +55.9%    365 time      
2024-03-06   2025-03-06   KRYS         7     174.36     178.93     +2.6%    365 time      
2024-03-13   2025-03-13   TLN          7      84.30     195.20   +131.6%    365 time      
2024-03-13   2025-03-13   COIN         6     251.73     177.49    -29.5%    365 time      
2024-03-13   2024-08-28   SMCI         6     118.81      47.52    -60.0%    168 stop_loss 
2024-03-13   2025-03-13   IOT          6      38.36      37.14     -3.2%    365 time      
2024-03-13   2025-03-13   CDE          6       3.31       5.94    +79.5%    365 time      
2024-03-13   2025-03-13   HMY          6       7.87      12.21    +55.1%    365 time      
2024-03-13   2025-03-13   TSM          5     142.14     171.59    +20.7%    365 time      
2024-03-13   2025-03-13   SE           5      60.57     124.81   +106.1%    365 time      
2024-03-20   2025-03-20   SCCO         7      98.28      97.26     -1.0%    365 time      
2024-03-20   2025-03-20   MMM          7      90.39     151.27    +67.4%    365 time      
2024-03-20   2025-03-20   WSM          7     147.53     164.99    +11.8%    365 time      
2024-03-20   2025-03-20   DKS          7     219.31     191.35    -12.7%    365 time      
2024-03-20   2025-03-20   AL           7      46.65      47.41     +1.6%    365 time      
2024-03-20   2025-03-20   FER          6      40.02      44.95    +12.3%    365 time      
2024-03-20   2025-03-20   YMM          6       7.19      13.27    +84.6%    365 time      
2024-03-20   2025-03-20   MO           5      44.79      58.09    +29.7%    365 time      
2024-03-20   2025-03-20   CSGP         5      96.31      79.02    -18.0%    365 time      
2024-03-20   2025-03-20   FTI          5      24.88      29.29    +17.7%    365 time      
2024-03-27   2025-03-27   MU           7     119.25      91.16    -23.6%    365 time      
2024-03-27   2025-03-27   HLN          6       8.53      10.12    +18.6%    365 time      
2024-03-27   2025-03-27   EMBJ         6      26.65      47.48    +78.2%    365 time      
2024-03-27   2025-03-27   LYFT         6      19.48      12.14    -37.7%    365 time      
2024-03-27   2025-03-27   SRAD         6      11.53      22.50    +95.1%    365 time      
2024-03-27   2025-03-27   GPCR         6      42.91      19.94    -53.5%    365 time      
2024-03-27   2025-03-27   APP          5      68.86     261.70   +280.0%    365 time      
2024-03-27   2025-03-27   ANET         5      72.10      78.96     +9.5%    365 time      
